Dates;Market;SMB;HML;RMW;CMA;UMD;ROE;IA;BAB
197203;0,0063;-0,0027;-0,0173;0,0158;-0,0019;0,0291;0,020909;0,018522;0,013
197204;0,0029;0,0001;0,0023;-0,0059;-0,0089;0,029;0,007439;0,003007;-0,003
197205;0,0125;-0,0279;-0,0269;0,0233;-0,0185;0,0319;0,020885;-0,014978;0,0102
197206;-0,0243;0,0033;-0,0251;0,0175;-0,0036;0,0193;0,035904;-0,000442;0,0006
197207;-0,008;-0,0289;0,0078;0,0108;-0,0059;0,0275;0,021009;-0,003813;0,0145
197208;0,0326;-0,0409;0,0469;-0,0202;0,0295;-0,0534;-0,015003;0,035751;0,0228
197209;-0,0114;-0,0267;0,0047;0,0167;-0,0198;0,0175;0,021073;-0,011171;0,003
197210;0,0052;-0,0274;0,0137;-0,0012;-0,0005;0,0075;-0,004273;-0,004564;0,0245
197211;0,046;-0,0111;0,0476;-0,0198;0,0335;-0,0514;-0,040002;0,026856;0,0304
197212;0,0062;-0,0186;-0,0227;0,026;-0,022;0,0498;0,029658;-0,014356;0,0154
197301;-0,0329;-0,0348;0,0268;0,004;0,0092;0,0371;-0,004243;0,003819;-0,0085
197302;-0,0485;-0,0399;0,017;-0,0034;-0,0001;0,0212;-0,010202;0,000895;-0,0002
197303;-0,013;-0,0282;0,0278;-0,0107;0,0073;0,0362;-0,019084;0,005769;-0,0061
197304;-0,0568;-0,0399;0,0569;-0,0163;0,0271;0,064;-0,004763;0,031285;0,0129
197305;-0,0294;-0,0612;0,0021;0,0202;-0,0179;0,0709;0,015506;-0,004296;0,0071
197306;-0,0156;-0,0295;0,0144;-0,0027;0,0022;0,0431;-0,002085;0,004198;-0,0079
197307;0,0505;0,0792;-0,0535;-0,001;-0,0346;-0,1169;0,011344;-0,057598;-0,0394
197308;-0,0382;-0,0202;0,0113;-0,0136;0,012;0,0342;0,014658;0,016852;-0,0027
197309;0,0475;0,0294;0,0219;-0,023;0,0182;-0,0703;-0,01298;0,021917;0,0224
197310;-0,0083;-0,0023;0,0175;-0,0194;0,0259;0,0675;0,004963;0,026122;0,0135
197311;-0,1275;-0,0771;0,0409;-0,0271;0,015;0,0863;-0,011485;0,019803;-0,0412
197312;0,0061;-0,0529;0,041;-0,028;0,023;0,1039;0,036897;0,025209;0,016
197401;-0,0017;0,0976;0,0598;-0,0301;0,0446;-0,0882;-0,047769;0,020989;-0,0205
197402;-0,0047;0,0004;0,0256;-0,0193;0,0267;0,0014;-0,010424;0,021141;0,0237
197403;-0,0281;0,0251;-0,0011;0,0282;0,0036;-0,0099;0,01822;-0,000561;0,0063
197404;-0,0529;-0,007;0,0103;0,0286;0,0184;0,02;0,022048;0,023695;-0,0348
197405;-0,0468;-0,03;-0,0207;0,0508;-0,0001;-0,0026;0,022504;-0,003267;-0,016
197406;-0,0283;-0,002;0,0077;0,0062;0,0305;0,0237;0,015679;0,015964;-0,0037
197407;-0,0805;0,0092;0,0514;-0,0326;0,0458;0,0301;0,025754;0,044291;-0,0028
197408;-0,0935;-0,0068;0,025;-0,0026;0,0255;0,03;0,02971;0,031493;-0,0477
197409;-0,1177;0,0027;0,0549;-0,0428;0,0591;0,0432;-0,023265;0,048696;-0,0109
197410;0,161;-0,0351;-0,0999;-0,0003;-0,0294;-0,005;0,084657;-0,01866;0,0458
197411;-0,0451;-0,0117;-0,0016;-0,0339;0,0295;0,0217;0,017198;0,025433;-0,0147
197412;-0,0345;-0,0484;0;-0,0065;0,0323;0,0295;0,004904;0,021589;-0,0267
197501;0,1366;0,1101;0,0844;-0,0089;-0,0086;-0,1389;-0,116678;-0,005409;0,0484
197502;0,0556;0,0016;-0,0456;0,0115;-0,0214;-0,0055;0,035775;-0,016715;-0,0069
197503;0,0266;0,0375;0,0249;0,0123;-0,0125;-0,0199;-0,017323;-0,006368;-0,0406
197504;0,0423;-0,0054;-0,0111;0,0137;-0,0135;0,0134;0,033383;-0,000429;0,0115
197505;0,0519;0,0383;-0,0402;-0,0105;-0,0061;-0,0047;-0,002728;-0,001207;0,0139
197506;0,0483;0,0076;0,0132;-0,0262;0,0107;0,0006;-0,015739;0,003474;0,0295
197507;-0,0659;0,0269;0,017;0,0043;0,0119;0,0042;-0,013878;0,014388;0,0401
197508;-0,0285;-0,032;-0,009;0,0103;-0,0089;-0,0013;0,00713;-0,001715;-0,0029
197509;-0,0426;-0,0013;0,0034;0,0053;0,005;0,0032;0,016701;0,013497;0,0256
197510;0,0531;-0,0402;0,003;-0,0046;0,0227;-0,0014;0,024021;0,029666;0,0194
197511;0,0264;-0,0119;0,0199;-0,0062;0,0171;-0,0045;0,006747;0,01579;0,0147
197512;-0,016;-0,0076;0,0175;-0,0012;0,006;-0,0012;-0,022549;-0,000444;-0,018
197601;0,1216;0,048;0,0858;-0,019;0,0236;0,0446;-0,026485;0,014911;0,0254
197602;0,0032;0,0703;0,0578;-0,0258;0,0384;0,0036;-0,037705;0,021535;0,0066
197603;0,0232;-0,0117;-0,0004;-0,0038;0,0109;0,0019;0,024445;0,016998;-0,0045
197604;-0,0149;-0,0003;-0,0006;0,0039;-0,011;0,005;-0,00282;-0,007454;0,025
197605;-0,0134;-0,0124;-0,0132;0,0247;-0,0142;-0,011;0,004638;-0,009753;0,0021
197606;0,0405;-0,0135;0,0068;-0,0059;0,0093;-0,0042;-0,000402;0,01342;-0,0134
197607;-0,0107;0,0031;0,0174;-0,0109;0,0029;-0,0012;0,007522;0,009213;0,0187
197608;-0,0056;-0,0201;0,0079;-0,0046;-0,0059;-0,0085;1,90E-05;-0,005975;0,0138
197609;0,0207;0;-0,0029;0,0099;-0,0114;0,0024;0,011099;-0,014154;0,0172
197610;-0,0242;0,0025;-0,0013;-0,0022;-0,0031;-0,0048;0,00298;-0,011258;0,0112
197611;0,0036;0,0232;0,0151;-0,0139;0,0008;0,029;-0,005127;-0,002677;0,0045
197612;0,0565;0,0301;0,0222;-0,0062;0,0223;0,0077;-0,010926;0,018146;0,0317
197701;-0,0405;0,0478;0,0426;-0,0053;0,0193;0,0398;-0,021494;0,009953;0,0407
197702;-0,0194;0,0108;0,005;-0,0013;-0,0019;0,0035;0,01251;0,00121;0,0249
197703;-0,0137;0,0099;0,0102;-0,0032;-0,0009;0,0049;0,002845;-0,001567;0,0123
197704;0,0015;-0,0012;0,0345;-0,0203;0,0116;0,0422;0,003708;0,012277;0,0106
197705;-0,0145;0,0118;0,0084;0,0033;0,0011;0,0201;0,017462;0,002061;0,0104
197706;0,0471;0,0213;-0,0064;0,0088;-0,0122;0,0177;0,023207;-0,00707;-0,0022
197707;-0,0169;0,0212;-0,0059;0,0083;0,0001;0,0031;0,017279;0,010303;0,0286
197708;-0,0175;0,0152;-0,0279;0,0096;-0,0062;-0,0178;0,013905;-0,009221;0,0034
197709;-0,0027;0,0145;-0,0049;0,0123;-0,0084;0,0206;0,013822;-0,000246;0,0041
197710;-0,0438;0,0127;0,0172;-0,003;-0,0046;-0,0013;-0,009856;-0,005652;0,0018
197711;0,04;0,0372;0,0031;-0,0005;0,0065;0,0219;0,02565;0,01202;0,0028
197712;0,0027;0,0135;-0,0037;0,0094;-0,0065;0,0156;0,012518;0,000436;0,0237
197801;-0,0601;0,0222;0,0331;-0,0167;0,0153;-0,0072;-0,017383;0,009791;0,0023
197802;-0,0138;0,0359;0,0076;0,0036;0,0104;0,019;0,000728;0,013206;0,0149
197803;0,0285;0,0348;0,012;-0,006;0,0188;0,0137;-4,40E-05;0,025349;0,0163
197804;0,0788;0,004;-0,0354;0,0282;-0,0135;0,0085;0,055452;-0,00362;0,0321
197805;0,0176;0,0456;-0,0062;0,0027;0,0036;0,0285;0,00503;0,008898;0,0221
197806;-0,0169;0,0169;0,0059;-0,0144;-0,0002;0,0278;0,015126;0,0043;0,021
197807;0,0511;0,0026;-0,0111;0,0158;-0,0078;0,0422;0,0182;0,002737;0,0037
197808;0,0375;0,0506;-0,0046;0,0139;0,0042;0,0282;0,019068;0,011637;0,0465
197809;-0,0143;-0,0039;0,0187;-0,0068;0,018;-0,0311;-0,035455;0,002454;0,0239
197810;-0,1191;-0,0988;0,0136;0,0017;0,0103;-0,0839;-0,011601;0,005996;-0,0375
197811;0,0271;0,0301;-0,0222;0,0109;-0,0121;0,0552;0,012777;-0,010321;-0,0421
197812;0,0088;0,0124;-0,0219;0,0196;-0,0138;0,0305;0,026761;-0,010916;0,0022
197901;0,0423;0,0366;0,0227;-0,025;0,0157;-0,0124;-0,012204;0,016783;0,0334
197902;-0,0356;0,0045;0,012;-0,0114;0,0104;-0,0106;-0,024104;-0,004669;0,0104
197903;0,0568;0,0319;-0,0067;0,0062;0,0028;0,0288;0,023211;0,00762;-0,0135
197904;-0,0006;0,0218;0,0105;0,0105;0,0021;0,0081;0,018596;0,008093;0,0113
197905;-0,0221;0,0016;0,0132;-0,0139;-0,0035;-0,0057;-0,006354;-0,000488;-0,0012
197906;0,0385;0,0117;0,0148;-0,0161;-0,0045;0,0082;-0,010071;-0,008884;0,0165
197907;0,0082;0,0126;0,017;-0,002;0,0059;-0,0109;0,005525;0,006421;0,016
197908;0,0553;0,0208;-0,0155;0,0158;-0,0145;-0,0023;0,028977;-0,00348;0,0196
197909;-0,0082;-0,0025;-0,0087;0,0102;0,0054;0,0534;0,006966;-0,001385;0,0039
197910;-0,081;-0,0334;-0,0186;0,0104;0,0024;0,0212;0,009841;0,000203;-0,047
197911;0,0521;0,0274;-0,0325;0,0011;-0,02;0,0796;0,022859;-0,025489;-0,016
197912;0,0179;0,0417;-0,0198;-0,0067;-0,0101;0,0478;0,012236;-0,011103;0,0084
198001;0,0551;0,0165;0,018;-0,0167;0,0201;0,0751;0,017475;0,013627;0,0263
198002;-0,0122;-0,0182;0,0062;0,0011;0,0304;0,0788;0,022602;0,016345;-0,0153
198003;-0,129;-0,0664;-0,0106;0,0138;-0,0134;-0,0959;-0,011728;0,007581;-0,0471
198004;0,0397;0,0097;0,0106;-0,0209;0,0054;-0,0042;0,001694;0,012175;0,0209
198005;0,0526;0,0216;0,0039;0,0031;-0,0047;-0,0111;-0,00941;-0,013314;0,0365
198006;0,0306;0,0167;-0,0089;-0,0009;-0,0095;0,0159;0,030683;-0,011272;0,0369
198007;0,0649;0,0425;-0,063;0,0394;-0,0246;0,0037;-0,005185;-0,022885;-0,0094
198008;0,018;0,0392;-0,0264;0,021;-0,008;0,0319;0,024955;0,006597;0,0152
198009;0,0219;0,0089;-0,0479;0,0203;-0,0281;0,0544;0,051664;-0,004912;0,0129
198010;0,0106;0,0247;-0,0274;0,0167;-0,0122;0,0732;0,040221;0,004872;-0,0022
198011;0,0959;-0,0345;-0,0835;0,0453;-0,0574;0,1524;0,090038;-0,018913;-0,0626
198012;-0,0452;-0,0028;0,0268;-0,0125;0,0118;-0,0665;-0,013091;0,009482;0,0092
198101;-0,0504;0,03;0,0684;-0,0354;0,0435;-0,0794;-0,048819;0,023986;0,0471
198102;0,0057;-0,0031;0,0097;0,0019;0,0225;-0,0139;0,007112;0,018857;0,0196
198103;0,0356;0,0358;0,0067;-0,0234;-0,0053;0,0074;-0,012846;-0,017376;0,0367
198104;-0,0211;0,0442;0,0226;0,0082;0,012;-0,0096;0,01313;0,023693;0,0567
198105;0,0011;0,02;-0,0043;0,0033;-0,016;0,0375;-0,00031;-0,005126;-0,0036
198106;-0,0236;-0,0085;0,0513;-0,0135;0,0268;-0,059;-0,000363;0,027016;0,0544
198107;-0,0154;-0,0218;-0,0066;0,0108;-0,0304;-0,0252;0,031701;-0,019616;-0,0134
198108;-0,0704;-0,0195;0,0484;-0,0025;0,0146;-0,0112;0,007274;0,012272;0,02
198109;-0,0717;-0,0266;0,052;-0,0002;0,0279;0,0198;0,006074;0,035677;-0,0162
198110;0,0492;0,0213;-0,0421;0,0329;-0,0276;0,0407;0,048052;-0,009324;-0,0194
198111;0,0336;-0,0096;0,019;0,001;0,0063;-0,0027;0,005384;0,005772;0,0437
198112;-0,0365;0,0117;0,0074;0,0019;0,0241;0,0132;-0,005258;0,018902;0,0221
198201;-0,0324;-0,0129;0,0317;-0,0152;0,0208;0,0173;-0,014965;0,019657;0,0002
198202;-0,0586;0,0049;0,061;-0,0338;0,0457;0,05;0,002831;0,04692;0,0302
198203;-0,0187;-0,0019;0,0378;-0,0144;0,0237;0,0293;-0,017068;0,018195;0,0164
198204;0,0327;0,0151;-0,0278;0,0151;-0,0015;-0,0041;0,019119;0,012224;0,0214
